second,Volt,Volt,Volt,Volt4
1.92,-0.072362,-0.00167,-5.248116,0.009742
1.925,-0.072362,-0.014736,-8.866206,0.010245
1.93,-0.094975,-0.009208,-9.469221,0.010747
1.935,-0.072362,-0.001168,-5.851131,0.009994
1.94,-0.072362,-0.001168,-2.220477,0.009617
1.945,-0.072362,-0.009208,1.246859,0.011627
1.95,-0.094975,-0.009208,4.915201,0.010496
1.955,-0.0799,-0.001168,8.583543,0.009617
1.96,2.219095,-0.009208,8.219221,0.063888
1.965,2.219095,-0.009208,4.601131,0.063888
1.97,2.241708,-0.013731,1.07098,0.063888
1.975,2.219095,-0.001168,-2.434045,0.062632
1.98,2.219095,-0.00167,-6.052136,0.065773
1.985,2.219095,-0.011721,-9.594849,0.062506
1.99,2.219095,-0.009208,-8.665201,0.063888
1.995,2.219095,-0.001168,-4.883794,0.065521
2,2.219095,-0.008706,-1.416457,0.065773
2.005,2.219095,-0.00368,2.113693,0.063888
2.01,2.219095,-0.013731,5.719221,0.063888
2.015,2.219095,0.005365,9.224246,0.065521
2.02,2.219095,-0.008706,7.415201,0.064014
2.025,2.219095,-0.011721,3.797111,0.064642
2.03,2.219095,-0.009208,0.26696,0.063888
2.035,2.219095,-0.001168,-3.238065,0.061878
2.04,2.219095,-0.001168,-6.868719,0.063888
2.045,2.219095,-0.017248,-10.474246,0.063888
2.05,2.219095,-0.009208,-7.748116,0.062758
2.055,2.219095,0.005365,-4.079774,0.063888
2.06,2.219095,-0.008706,-0.612437,0.063763
2.065,2.219095,-0.009208,2.99309,0.063888
2.07,2.219095,-0.009208,6.724246,0.063888
2.075,2.219095,-0.001168,10.191583,0.063888
2.08,2.219095,-0.00167,6.78706,0.065773
2.085,2.219095,-0.009208,2.99309,0.063888
2.09,2.219095,-0.009208,-0.625,0.063888
2.095,2.219095,-0.001168,-4.042085,0.063888
2.1,2.219095,-0.008706,-7.672739,0.063888
2.105,2.219095,-0.009208,-10.612437,0.06326
2.11,2.219095,-0.00569,-6.856156,0.063888
2.115,2.219095,-0.001168,-3.275754,0.063888
2.12,2.219095,-0.00167,0.191583,0.063888
2.125,2.219095,-0.009208,3.859925,0.063888
2.13,2.219095,-0.013731,7.415201,0.063888
2.135,2.186432,-0.001168,9.261935,0.063888
2.14,2.219095,-0.009208,5.794598,0.063888
2.145,2.219095,-0.009208,2.126256,0.062506
2.15,2.219095,-0.009208,-1.34108,0.062758
2.155,2.186432,-0.001168,-5.009422,0.063888
2.16,2.219095,-0.009208,-8.665201,0.062004
2.165,2.219095,-0.009208,-9.670226,0.06326
2.17,2.219095,-0.009208,-6.02701,0.062758
2.175,2.219095,-0.001168,-2.434045,0.063888
2.18,2.219095,-0.00167,1.184045,0.063888
2.185,2.219095,-0.011721,4.802136,0.064642
2.19,2.219095,-0.009208,8.332287,0.063888
2.195,2.219095,-0.001168,8.457915,0.063888
2.2,2.219095,-0.008706,4.990578,0.065773
2.205,2.219095,-0.009208,1.322236,0.061878
2.21,2.219095,-0.004685,-2.23304,0.062129
2.215,2.219095,0.003857,-5.813442,0.062255
2.22,2.219095,-0.008706,-9.469221,0.063888
